,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
215,Colamax,RS,14,7.1%,1.8,2.0,3.6,4.6,5.3,312,81.1%,16.8,342,1.14,0.37,0.22,0.26,-643,-17,-614,7.1%,7.1%,0,2
216,Colden,TR,14,21.4%,3.1,1.1,3.1,8.6,1.3,253,81.4%,8.4,178,2.63,1.33,0.34,0.36,22,1,204,21.4%,21.4%,0,-
217,Coldraa,TR,18,33.3%,2.8,3.3,3.2,5.8,8.4,393,68%,22.7,507,1.28,0.47,0.34,0.11,-528,-2,-444,27.8%,16.7%,0,3
218,Color,PL,33,69.7%,3.6,2.7,2.4,6.0,7.9,411,51.7%,24.7,628,1.06,0.42,0.15,0.11,326,6,3,15.2%,12.1%,0,9
219,Comp,GR,19,26.3%,3.3,3.4,2.3,4.1,8.6,406,71.9%,24.8,514,1.42,0.48,0.36,0.11,-279,-14,-315,21.1%,5.3%,0,-
220,Contractz,US,20,40%,3.0,2.2,3.1,7.0,5.9,327,74.1%,13.7,314,1.38,0.34,0.35,0.26,-50,-3,-165,30%,10%,0,2
221,CoreJJ,KR,33,63.6%,5.3,0.9,2.2,10.9,1.4,266,75.3%,8.0,206,3.66,1.72,0.59,0.42,-96,-10,-194,27.3%,3%,0,-
222,Cotopaco,CO,35,34.3%,2.4,2.4,3.1,5.1,8.1,380,65.2%,31.1,649,0.96,0.45,0.18,0.17,-536,-8,-227,0%,22.9%,0,3
223,Courage,KR,44,50%,3.2,2.3,2.9,7.0,5.6,333,75.1%,11.2,271,1.49,0.4,0.35,0.35,145,4,181,40.9%,2.3%,0,4
224,Crem,TR,14,28.6%,3.8,3.9,2.0,3.7,9.5,430,66.9%,24.9,534,0.94,0.34,0.24,0.07,-68,2,-141,21.4%,14.3%,0,-
225,Creme,CN,57,73.7%,4.8,3.9,2.0,5.7,8.8,433,63%,27.3,714,-,-,-,-,-,-,-,-,-,-,-
226,Criptik,BE,14,7.1%,2.3,4.3,3.7,4.2,7.7,396,74.1%,27.7,633,0.74,0.31,0.19,0.04,-301,-10,-528,21.4%,14.3%,0,1
